season,sport_id,game_datetime,game_id,team_id,player_id,player_jersey_number,player_full_name,player_positions,batting_G,batting_GS,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,batting_OPP_DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_KL,pitching_GP,pitching_GS,pitching_IP,pitching_IP_str,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_BF,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SF,pitching_KL,pitching_TUER,pitching_PK,pitching_order_appeared,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_CI,fielding_PB,fielding_SBA,fielding_CSB,fielding_IDP,fielding_TP,fielding_SBA%,stadium_name,attendance,away_team_id,home_team_id,away_team_name,home_team_name
2025,MBA,2025-02-16T00:00:00-05:00,6340037,597008,8880542,1,Jake Burgess,SS,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,0,0,0,0,0,0,0,0.0,"The Yard (Redlands, CA)",190,597005,597008,Puget Sound Loggers,Redlands Bulldogs
2025,MBA,2025-02-16T00:00:00-05:00,6340037,597008,9105564,10,tyler Barsness,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"The Yard (Redlands, CA)",190,597005,597008,Puget Sound Loggers,Redlands Bulldogs
2025,MBA,2025-02-16T00:00:00-05:00,6340037,597005,8894090,12,Sean Murphy,C,1,1,0,3,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,0,10,0,0,0,0,0,1,0,0.0,"The Yard (Redlands, CA)",190,597005,597008,Puget Sound Loggers,Redlands Bulldogs
2025,MBA,2025-02-16T00:00:00-05:00,6340037,597008,8894709,14,Will Cell,LF,1,1,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,5,1,0,0,0,0,0,0,0.0,"The Yard (Redlands, CA)",190,597005,597008,Puget Sound Loggers,Redlands Bulldogs
2025,MBA,2025-02-16T00:00:00-05:00,6340037,597005,8887275,15,Cooper Allen,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"The Yard (Redlands, CA)",190,597005,597008,Puget Sound Loggers,Redlands Bulldogs
2025,MBA,2025-02-16T00:00:00-05:00,6340037,597008,8888991,15,Jack Brown,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"The Yard (Redlands, CA)",190,597005,597008,Puget Sound Loggers,Redlands Bulldogs
2025,MBA,2025-02-16T00:00:00-05:00,6340037,597005,8898830,16,Cadence Ueyama,SS,1,1,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0.0,"The Yard (Redlands, CA)",190,597005,597008,Puget Sound Loggers,Redlands Bulldogs
2025,MBA,2025-02-16T00:00:00-05:00,6340037,597008,8884944,16,Nathan Miller,3B,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,0,0,0,0,0,0,0,0.0,"The Yard (Redlands, CA)",190,597005,597008,Puget Sound Loggers,Redlands Bulldogs
2025,MBA,2025-02-16T00:00:00-05:00,6340037,597008,9105567,18,Phillip Economos,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.668,3.2,4,2,2,2,1,17,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"The Yard (Redlands, CA)",190,597005,597008,Puget Sound Loggers,Redlands Bulldogs
2025,MBA,2025-02-16T00:00:00-05:00,6340037,597005,8899654,19,Jim O'Brien,1B,1,1,1,5,2,0,0,5,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,5,0,0,0,0,0,1,0,0.0,"The Yard (Redlands, CA)",190,597005,597008,Puget Sound Loggers,Redlands Bulldogs
