season,season_name,sport_id,ncaa_division,ncaa_division_formatted,team_conference_name,school_id,school_name,player_id,player_jersey_num,player_full_name,player_first_name,player_last_name,player_class,player_positions,player_height_string,player_weight,player_batting_hand,player_throwing_hand,player_hometown,player_high_school,player_G,player_GS,player_url
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565057,17,Leo Rivera,Leo,Rivera,So.,INF,,,,,,,13,12,https://stats.ncaa.org/players/6565057
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565058,3,Drew Vannaman,Drew,Vannaman,So.,OF,,,,,,,15,13,https://stats.ncaa.org/players/6565058
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565059,10,Kevin Nakamura,Kevin,Nakamura,Jr.,INF,,,,,,,16,15,https://stats.ncaa.org/players/6565059
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565060,14,Matthew Sox,Matthew,Sox,Jr.,INF,,,,,,,16,16,https://stats.ncaa.org/players/6565060
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565061,8,Jerick Nomura,Jerick,Nomura,Jr.,OF,,,,,,,16,15,https://stats.ncaa.org/players/6565061
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565062,37,Collin Anderson,Collin,Anderson,Jr.,P,,,,,,,10,0,https://stats.ncaa.org/players/6565062
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565064,57,Elliott Puttkammer-Saxen,Elliott,Puttkammer-Saxen,Jr.,P,,,,,,,4,0,https://stats.ncaa.org/players/6565064
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565066,33,Tristan Kalnins,Tristan,Kalnins,Jr.,P,,,,,,,7,0,https://stats.ncaa.org/players/6565066
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565067,21,Anthony Nevoso,Anthony,Nevoso,Sr.,C,,,,,,,10,9,https://stats.ncaa.org/players/6565067
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565068,7,Travis Craven,Travis,Craven,Sr.,P,,,,,,,5,5,https://stats.ncaa.org/players/6565068
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565071,23,David Johnson,David,Johnson,Sr.,3B,,,,,,,16,16,https://stats.ncaa.org/players/6565071
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565072,2,Brett Williams,Brett,Williams,Sr.,INF,,,,,,,17,16,https://stats.ncaa.org/players/6565072
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565073,13,Matthew Cho,Matthew,Cho,So.,INF,,,,,,,10,8,https://stats.ncaa.org/players/6565073
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565074,29,Eric Ma,Eric,Ma,Jr.,P,,,,,,,5,5,https://stats.ncaa.org/players/6565074
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565075,4,Kepa Supnet,Kepa,Supnet,So.,INF,,,,,,,7,6,https://stats.ncaa.org/players/6565075
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565076,11,Ben Ortiz,Ben,Ortiz,So.,P,,,,,,,4,0,https://stats.ncaa.org/players/6565076
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565078,24,Jake Larson,Jake,Larson,Sr.,P,,,,,,,5,1,https://stats.ncaa.org/players/6565078
2020,2019-20,MBA,3,III,NWC,780,Whitman,6565079,9,Jack Carper,Jack,Carper,So.,OF,,,,,,,0,0,https://stats.ncaa.org/players/6565079
2020,2019-20,MBA,3,III,NWC,780,Whitman,6611932,12,Michael Doyle,Michael,Doyle,Fr.,UT,,,,,,,2,0,https://stats.ncaa.org/players/6611932
2020,2019-20,MBA,3,III,NWC,780,Whitman,6611917,15,Teague Conder,Teague,Conder,Fr.,UT,,,,,,,15,14,https://stats.ncaa.org/players/6611917
2020,2019-20,MBA,3,III,NWC,780,Whitman,6611936,25,Isaac Beaman,Isaac,Beaman,Fr.,INF,,,,,,,9,4,https://stats.ncaa.org/players/6611936
2020,2019-20,MBA,3,III,NWC,780,Whitman,6611938,40,Colson Ryan,Colson,Ryan,Fr.,P,,,,,,,2,0,https://stats.ncaa.org/players/6611938
2020,2019-20,MBA,3,III,NWC,780,Whitman,6611927,1,Brock Williams,Brock,Williams,Fr.,INF,,,,,,,1,0,https://stats.ncaa.org/players/6611927
2020,2019-20,MBA,3,III,NWC,780,Whitman,6611937,38,Dustin Lennon-Jones,Dustin,Lennon-Jones,Fr.,P,,,,,,,0,0,https://stats.ncaa.org/players/6611937
2020,2019-20,MBA,3,III,NWC,780,Whitman,6611930,6,Ben Parker,Ben,Parker,Fr.,OF,,,,,,,12,8,https://stats.ncaa.org/players/6611930
2020,2019-20,MBA,3,III,NWC,780,Whitman,6611919,18,Dexter Aichele,Dexter,Aichele,Jr.,P,,,,,,,5,1,https://stats.ncaa.org/players/6611919
2020,2019-20,MBA,3,III,NWC,780,Whitman,6611920,19,Benjamin Seashore-Hobson,Benjamin,Seashore-Hobson,Fr.,P,,,,,,,1,0,https://stats.ncaa.org/players/6611920
2020,2019-20,MBA,3,III,NWC,780,Whitman,6611922,26,Simeon Downing,Simeon,Downing,Fr.,OF,,,,,,,2,1,https://stats.ncaa.org/players/6611922
