season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,batting_GP,batting_GS,batting_AVG,batting_OBP,batting_SLG,batting_R,batting_AB,batting_H,batting_2B,batting_3B,batting_TB,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_SF,batting_SH,batting_SO,OPP DP,batting_CS,batting_PK,batting_SB,batting_IBB,batting_GDP,RBI2out
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7333055,34,John Bender,,,Sr,p,-,,14940,6,1,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7333310,6,Haedyn Csiszar,,,Sr,C,-,,14940,1,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7335106,29,Seth Sanders,,,Jr,OF,5-9,R/R,14940,11,0,0.200,0.200,0.200,3,5,1,,,1,,,,,,,3,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7335914,39,Cameron Vozel,,,Jr,C,5-9,R/R,14940,33,25,0.287,0.382,0.356,12,87,25,3,,31,1,11,13,1,1,1,22,1,1,1,3,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7336137,41,Alex Altmire,,,Jr,INF,-,,14940,2,0,0.333,0.333,0.667,1,3,1,1,,2,,1,,,,,2,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7336257,21,Kyle Ives,,,Jr,INF,5-11,R/R,14940,2,0,0.000,0.000,0.000,,2,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7336425,31,Joe Reitebach,,,So,p,6-3,R/R,14940,19,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7336476,35,Evan Harrison,,,Jr,p,6-0,R/R,14940,5,1,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7336516,17,Mason Haley,,,Jr,P,-,,14940,1,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7338570,33,Ryan Kalbfus,,,Sr,1B,6-2,R/R,14940,46,46,0.313,0.383,0.560,30,150,47,11,1,84,8,36,14,6,5,1,34,,,,10,4,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7339501,4,Luke Callahan,,,Sr,cf,-,,14940,44,42,0.230,0.274,0.356,25,135,31,5,,48,4,22,8,1,2,2,45,2,4,,6,,2,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7340191,30,Benjamin Visnesky,,,Jr,P,-,,14940,4,3,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7341809,13,Ian Hess,,,Sr,1b,6-2,R/L,14940,46,46,0.307,0.407,0.587,38,150,46,9,,88,11,41,20,8,4,,21,2,1,2,1,,1,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7342817,12,Miguel Vega,,,So,2b,5-8,L/R,14940,41,38,0.328,0.459,0.448,31,116,38,11,,52,1,13,17,12,1,5,27,1,3,4,28,1,1,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7344247,24,Kieran Gagnon,,,Jr,OF,5-11,R/R,14940,26,19,0.227,0.301,0.303,10,66,15,3,1,20,,10,5,2,,1,21,3,1,,10,,3,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7347325,26,Kevin Schott,,,So,P,6-2,L/L,14940,11,1,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7348411,28,Jimmy Colvin,,,Jr,P,-,,14940,1,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7348418,15,Jake Visha,,,Jr,P,6-0,L/L,14940,11,9,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7348545,5,Marshall Murray,,,Sr,INF,5-11,R/R,14940,6,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7350457,32,Adam Malecki,,,Jr,OF,-,,14940,4,0,0.000,0.000,0.000,,4,,,,0,,,,,,,1,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7350688,2,Trey Zeroski,,,Sr,ss,5-10,R/R,14940,29,29,0.262,0.340,0.417,15,84,22,3,2,35,2,10,8,2,,2,20,1,3,,3,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7351653,45,Andre Gillems,,,Jr,INF,-,,14940,5,1,0.000,0.000,0.000,,2,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7353844,43,Jared Bielanin,,,So,3b,6-2,R/R,14940,30,22,0.273,0.380,0.545,11,66,18,6,,36,4,18,6,6,1,,20,3,1,,2,,2,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7354853,14,Alex Baldi,,,Jr,INF,-,,14940,10,2,0.077,0.143,0.077,1,13,1,,,1,,,1,,,,5,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7355607,20,Brandan Rea,,,Jr,C,-,,14940,27,21,0.200,0.318,0.236,10,55,11,2,,13,,8,9,1,1,,14,3,,,,,3,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7356673,43,Tommylee Sierra,,,Jr,P,5-11,R/R,14940,1,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7357371,10,Brandon Wetherholt,,,Sr,OF,6-0,L/R,14940,45,45,0.287,0.379,0.497,27,143,41,12,,71,6,32,18,7,6,,27,1,1,1,2,1,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7586834,9,Deven Judy,,,Sr,P,-,,14940,10,9,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7586835,7,Jorge Mejia,,,Sr,OF,-,,14940,44,41,0.258,0.382,0.392,25,120,31,6,2,47,2,12,17,7,,,22,1,5,3,15,,1,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7586836,27,Connor Rakow,,,So,lf,6-1,R/R,14940,29,24,0.240,0.286,0.347,14,75,18,2,,26,2,15,2,4,3,,26,1,1,1,2,,1,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7586837,16,Evan Yandricha,,,Fr,c,-,,14940,8,5,0.133,0.133,0.333,2,15,2,,,5,1,3,,,,,8,,,1,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7586838,34,Matt Graeber,,,N/A,p,6-6,R/R,14940,8,3,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7586839,23,Eric Sapp,,,Sr,P,-,,14940,12,12,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7587452,38,Jaret Boyer,,,N/A,p,6-1,R/R,14940,11,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7587453,8,Carson Whiteman,,,N/A,p,6-4,R/R,14940,9,6,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7588073,37,Kyle Borrello,,,Fr,p,6-0,L/L,14940,7,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7590631,36,Andrew Mottola,,,So,1B,5-11,R/R,14940,1,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7590632,39,Dom Pearson,,,So,ph,5-10,R/R,14940,3,0,,1.000,,1,,,,,0,,,1,1,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7590666,22,David Ariza,,,Sr,P,-,,14940,4,1,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7592313,43,Alex Gregory,,,N/A,p,5-11,R/R,14940,2,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7597697,53,R. Gerenser,,,Sr,p,-,,14940,1,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7597698,36,Nick Harhai,,,Fr,p,6-4,R/R,14940,1,0,,,,,,,,,0,,,,,,,,,,,,,,
2022,2021-22,MBA,246,Gannon,2,II,PSAC,7671681,40,AJ Bryan,,,Fr,ss,5-9,R/R,14940,15,8,0.185,0.267,0.259,5,27,5,,1,7,,,3,,,1,7,,,,,,,
