season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,fielding_G,fielding_GS,fielding_PO,fielding_A,fielding_TC,fielding_E,fielding_FLD%,fielding_CI,fielding_PB,fielding_SBA,fielding_CS,fielding_DP,fielding_TP,fielding_SB%
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7331113,7,Westin Blattner,,,Sr,C,6-3,R/R,14942,2,0,,,0,,,,,,,,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7331356,15,Wyatt Petek,,,So,P,6-2,R/R,14942,12,0,1,2,3,,1.000,,,1,,,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7332800,42,Ethan Milburn,,,Jr,P,6-7,R/R,14942,13,12,3,5,10,2,0.800,,,,2,,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7333809,24,Micah Stewart,,,Sr,2B,5-5,R/R,14942,26,2,3,3,6,,1.000,,,,,,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7335134,29,Reid Hale,,,Jr,P,6-5,R/R,14942,18,0,,3,3,,1.000,,,11,,,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7337777,10,Noah Cline,,,Sr,P,-,,14942,13,12,,6,6,,1.000,,,14,6,,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7337962,35,Alan Perry,,,Sr,3B,6-0,R/R,14942,47,47,26,59,96,11,0.885,,,,,5,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7339057,00,Daniel Sewak,,,Sr,C,6-0,R/R,14942,20,16,10,,11,1,0.909,,,1,,,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7343548,22,Blais Hale,,,Jr,1B,6-1,R/R,14942,46,45,127,46,183,10,0.945,,,,,13,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7344595,12,Kevin Zhang,,,Sr,P,-,,14942,15,1,2,2,5,1,0.800,,,7,3,,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7345703,21,Caleb Gross,,,So,P,-,,14942,4,1,,,0,,,,,1,1,,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7346477,20,Joseph Melchior,,,So,OF,-,,14942,8,0,2,,2,,1.000,,,,,,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7347048,4,Austin Brown,,,Sr,OF,-,,14942,45,45,93,1,94,,1.000,,,,,,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7347333,14,Lucas Rotello,,,Jr,OF,6-0,L/R,14942,47,47,177,8,190,5,0.974,,,,,10,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7349076,17,Chase Springmeyer,,,Sr,1B,-,,14942,30,23,35,,36,1,0.972,,,,,3,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7356651,27,Payton Eeles,,,Sr,SS,5-7,L/R,14942,47,47,65,104,182,13,0.929,,,,,14,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7357381,3,Kale Ebling,,,Jr,2B,5-10,R/R,14942,21,18,30,22,57,5,0.912,,,,,3,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7357692,8,Tanner Gillis,,,Sr,P,6-3,R/R,14942,13,13,2,13,15,,1.000,,,5,1,,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7561129,11,Jacob Clements,,,Sr,OF,-,,14942,28,21,24,1,25,,1.000,,,,,,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7561130,1,Bryce Hughes,,,Sr,OF,-,,14942,42,42,64,7,74,3,0.959,,,,,1,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7561138,34,Sam Punzi,,,Sr,C,-,,14942,46,44,339,25,371,7,0.981,2,13,42,12,2,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7561141,44,Connor Legere,,,Fr,P,6-2,R/R,14942,1,0,,,0,,,,,,,,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7561149,5,Kaden Shook,,,Fr,C,5-10,R/R,14942,15,3,49,2,51,,1.000,,3,6,,,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7561153,9,Caleb McKinion,,,Fr,INF,6-1,R/R,14942,19,9,4,7,13,2,0.846,,,1,,1,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7561155,18,Wyatt Fisher,,,Fr,P,6-1,R/R,14942,13,9,1,1,3,1,0.667,,,7,,,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7561156,25,Brody Rice,,,Fr,1B,-,,14942,13,5,33,6,40,1,0.975,,,,,2,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7561157,31,Daniel Mick,,,Fr,INF,6-1,L/R,14942,3,0,,,0,,,,,,,,,
2022,2021-22,MBA,30124,Cedarville,2,II,G-MAC,7561160,41,Hunter Laurell,,,Fr,OF,5-11,R/R,14942,13,7,22,,22,,1.000,,,,,,,
