season,season_name,sport_id,school_id,school_name,ncaa_division,ncaa_division_formatted,team_conference_name,player_id,player_jersey_number,player_full_name,player_last_name,player_first_name,player_class,player_position,player_height,player_bats_throws,stat_id,pitching_G,pitching_APP,pitching_GS,pitching_ERA,pitching_IP,pitching_CG,pitching_H,pitching_R,pitching_ER,pitching_BB,pitching_SO,pitching_SHO,pitching_BF,pitching_AB,pitching_2B,pitching_3B,pitching_BK,pitching_HR,pitching_WP,pitching_HBP,pitching_IBB,pitching_IR,pitching_IRS,pitching_SH,pitching_SFA,pitching_PI,pitching_GO,pitching_FO,pitching_W,pitching_L,pitching_SV,pitching_KL,pitching_PK
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7333198,15,Garrett Herring,,,Jr,P,6-4,R/R,14941,12,12,11,8.54,51.2,,71,56,49,28,55,,262,222,14,4,,17,5,10,,,,,2,370,40,50,2,3,,12,1
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7333398,30,Tommy Mohan,,,So,C,5-10,L/R,14941,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7333405,41,Mac Grant,,,Jr,P,6-1,R/R,14941,11,11,10,7.58,46.1,3,78,52,39,14,28,,235,208,20,1,2,8,5,7,,1,1,2,4,355,47,56,4,3,,12,1
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7334027,21,Mark Branz,,,So,P,6-1,R/R,14941,16,16,,8.38,19.1,,26,21,18,17,18,,104,83,6,1,,,4,3,1,13,6,,1,158,17,21,3,,3,4,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7336011,10,Logan Boente,,,Jr,P,6-1,R/R,14941,5,5,3,22.85,8.2,,18,22,22,12,8,,60,41,6,1,,3,5,5,,,,1,1,142,10,7,,3,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7339490,18,Austin Fleming,,,Jr,OF,5-9,L/R,14941,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7342101,14,Adam Kopff,,,Jr,P,5-11,L/L,14941,4,4,,18.00,4.0,,7,8,8,7,2,,28,16,2,,,1,1,5,,1,,,,21,4,2,,,,1,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7342747,2,Joseph Costanzo,,,Sr,INF,6-0,R/R,14941,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7343725,1,Katom Parnell,,,Jr,INF,5-10,R/R,14941,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7345079,23,Nick Beeler,,,Sr,P,5-0,R/R,14941,7,7,,11.12,5.2,,11,7,7,7,9,,33,26,2,,,1,2,,,7,1,,,36,1,5,,,,4,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7352085,3,Joseph Copeland,,,So,OF,5-9,L/L,14941,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7353208,38,Hunter Schrage,,,Jr,INF,5-10,R/R,14941,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7353225,17,Corey Price,,,Sr,OF,-,,14941,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7355710,11,JP Kehoe,,,Sr,INF,5-9,R/R,14941,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7355803,27,Noah Pierce,,,Jr,P,6-0,L/L,14941,9,9,,11.12,5.2,,10,7,7,10,4,,37,27,2,1,,2,3,,,3,1,,,59,8,5,,,,1,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7555660,32,Connor Gilles,,,Sr,P,6-1,L/R,14941,5,5,1,7.27,8.2,,6,8,7,7,10,,40,33,1,,,2,4,,,,,,,15,7,9,,1,,4,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7555661,20,Mason Hale,,,Sr,C,6-0,R/R,14941,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7555663,35,Evan Spears,,,Sr,P,6-4,R/R,14941,19,19,,9.90,40.0,,63,50,44,20,29,,203,178,10,5,,11,3,2,1,4,1,2,1,307,45,40,1,4,1,6,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7555664,40,Lucas Vallandingham,,,Sr,P,6-0,R/R,14941,12,12,,9.00,15.0,,23,17,15,6,25,,74,68,6,1,,5,,,,8,5,,,120,6,13,,3,1,5,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7555695,5,Dalton Hoel,,,So,INF,5-7,B/R,14941,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7555704,34,Austin Francis,,,Jr,C,5-11,R/R,14941,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7555705,8,Ryan Hutchinson,,,Sr,OF,6-2,L/L,14941,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7555707,13,Andrew Yancik,,,Sr,P,6-1,R/R,14941,18,18,,8.24,39.1,,61,42,36,11,34,,197,171,9,,,7,7,9,,18,11,1,4,275,38,38,4,4,1,6,1
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7555709,6,Peyton Dillingham,,,Sr,OF,6-0,R/R,14941,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7555728,9,Alex Steinbach,,,Sr,UT,-,,14941,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7560164,24,Tyler Swan,,,Fr,C,5-10,R/R,14941,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7560165,25,Ryan Drayer,,,So,P,6-3,R/R,14941,1,1,1,3.60,5.0,,4,3,2,0,7,,20,20,1,,,2,1,,,,,,,78,2,6,1,,,2,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7560188,7,Gavin Arseneau,,,Fr,INF,5-10,R/R,14941,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7560189,16,Sam Steimel,,,So,P,6-0,R/R,14941,5,5,1,17.36,4.2,,5,9,9,10,3,,28,18,2,,,2,3,,,,,,,72,6,3,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7560190,22,Brenden Boles,,,Sr,P,-,,14941,12,12,8,7.49,33.2,,49,37,28,31,35,,191,145,10,1,,2,2,10,,2,2,3,2,294,29,34,2,2,,7,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7560191,29,Nik Millsap,,,So,P,6-3,R/R,14941,3,3,3,14.90,9.2,,15,16,16,9,5,,53,40,3,2,,3,,3,,,,,1,202,10,11,,1,,1,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7560192,33,Owen Gross,,,So,P,6-2,R/R,14941,21,21,,6.39,31.0,,39,31,22,12,34,,151,132,8,3,2,3,6,5,,18,3,2,,194,33,23,2,1,1,8,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7560193,36,Noah Crocker,,,So,INF,6-2,L/L,14941,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021-22,MBA,30138,McKendree,2,II,GLVC,7560194,39,Devin Radke,,,So,P,6-6,R/R,14941,13,13,9,11.97,29.1,,39,43,39,27,30,,166,126,9,2,2,8,13,11,,4,1,,2,227,32,23,1,2,,7,
